mysql> SELECT DATE(SampleDateTime) AS SampleDateTime,SensorData FROM Aquaponics_Data WHERE Sensor_No=1;
+----------------+------------+
| SampleDateTime | SensorData |
+----------------+------------+
| 2013-09-17     | 20.78      |
| 2013-09-18     | 21.14      |
| 2013-09-24     | 27.14      |
| 2013-09-24     | 28.37      |
| 2013-12-11     | 17.79      |
| 2013-12-11     | 17.79      |
| 2013-12-11     | 17.74      |
| 2013-12-11     | 17.73      |
| 2013-12-11     | 17.50      |
| 2013-12-11     | 17.70      |
| 2013-12-11     | 17.64      |
| 2013-12-11     | 17.60      |
| 2013-12-11     | 17.54      |
| 2013-12-11     | 17.50      |
| 2013-12-11     | 17.45      |
| 2013-12-11     | 17.41      |
| 2013-12-11     | 17.35      |
| 2013-12-11     | 17.31      |
| 2013-12-11     | 17.27      |
| 2013-12-11     | 17.20      |
| 2013-12-11     | 17.15      |
| 2013-12-11     | 17.08      |
| 2013-12-11     | 17.06      |
| 2013-12-11     | 17.00      |
| 2013-12-11     | 16.95      |
| 2013-12-11     | 16.91      |
| 2013-12-12     | 16.86      |
| 2013-12-12     | 16.80      |
| 2013-12-12     | 16.74      |
| 2013-12-12     | 16.71      |
| 2013-12-12     | 16.69      |
| 2013-12-12     | 16.60      |
| 2013-12-12     | 16.56      |
| 2013-12-12     | 16.54      |
| 2013-12-12     | 16.46      |
| 2013-12-12     | 16.44      |
| 2013-12-12     | 16.37      |
| 2013-12-12     | 16.34      |
| 2013-12-12     | 16.25      |
| 2013-12-12     | 16.21      |
| 2013-12-12     | 16.16      |
| 2013-12-12     | 16.13      |
| 2013-12-12     | 16.08      |
| 2013-12-12     | 16.04      |
| 2013-12-12     | 15.99      |
| 2013-12-12     | 15.96      |
| 2013-12-12     | 15.91      |
| 2013-12-12     | 15.86      |
| 2013-12-12     | 15.82      |
| 2013-12-12     | 15.78      |
| 2013-12-12     | 15.75      |
| 2013-12-12     | 15.71      |
| 2013-12-12     | 15.67      |
| 2013-12-12     | 15.62      |
| 2013-12-12     | 15.58      |
| 2013-12-12     | 15.56      |
| 2013-12-12     | 15.54      |
| 2013-12-12     | 15.46      |
| 2013-12-12     | 15.39      |
| 2013-12-12     | 15.34      |
| 2013-12-12     | 15.30      |
| 2013-12-12     | 15.31      |
| 2013-12-12     | 15.33      |
| 2013-12-12     | 15.35      |
| 2013-12-12     | 15.39      |
| 2013-12-12     | 15.38      |
| 2013-12-12     | 15.51      |
| 2013-12-12     | 15.55      |
| 2013-12-12     | 15.58      |
| 2013-12-12     | 15.65      |
| 2013-12-12     | 15.72      |
| 2013-12-12     | 15.82      |
| 2013-12-12     | 15.96      |
| 2013-12-12     | 16.05      |
| 2013-12-12     | 16.17      |
| 2013-12-12     | 16.32      |
| 2013-12-12     | 16.47      |
| 2013-12-12     | 16.59      |
| 2013-12-12     | 16.66      |
| 2013-12-12     | 16.77      |
| 2013-12-12     | 16.88      |
| 2013-12-12     | 16.95      |
| 2013-12-12     | 17.00      |
| 2013-12-12     | 17.05      |
| 2013-12-12     | 17.13      |
| 2013-12-12     | 17.18      |
| 2013-12-12     | 17.23      |
| 2013-12-12     | 17.27      |
| 2013-12-12     | 17.23      |
| 2013-12-12     | 17.23      |
| 2013-12-12     | 17.21      |
| 2013-12-12     | 17.21      |
| 2013-12-12     | 17.18      |
| 2013-12-12     | 17.17      |
| 2013-12-12     | 17.11      |
| 2013-12-12     | 17.08      |
| 2013-12-12     | 17.04      |
| 2013-12-12     | 16.99      |
| 2013-12-12     | 16.98      |
| 2013-12-12     | 16.92      |
| 2013-12-12     | 16.88      |
| 2013-12-12     | 16.85      |
| 2013-12-12     | 16.79      |
| 2013-12-12     | 16.76      |
| 2013-12-12     | 16.71      |
| 2013-12-12     | 16.67      |
| 2013-12-12     | 16.62      |
| 2013-12-12     | 16.58      |
| 2013-12-12     | 16.56      |
| 2013-12-12     | 16.51      |
| 2013-12-12     | 16.45      |
| 2013-12-12     | 16.43      |
| 2013-12-12     | 16.38      |
| 2013-12-12     | 16.34      |
| 2013-12-12     | 16.29      |
| 2013-12-12     | 16.22      |
| 2013-12-12     | 16.20      |
| 2013-12-12     | 16.16      |
| 2013-12-12     | 16.13      |
| 2013-12-12     | 16.12      |
| 2013-12-12     | 16.07      |
| 2013-12-13     | 16.04      |
| 2013-12-13     | 16.04      |
| 2013-12-13     | 16.01      |
| 2013-12-13     | 15.98      |
| 2013-12-13     | 15.96      |
| 2013-12-13     | 15.92      |
| 2013-12-13     | 15.91      |
| 2013-12-13     | 15.90      |
| 2013-12-13     | 15.88      |
| 2013-12-13     | 15.86      |
| 2013-12-13     | 15.84      |
| 2013-12-13     | 15.82      |
| 2013-12-13     | 15.80      |
| 2013-12-13     | 15.78      |
| 2013-12-13     | 15.76      |
| 2013-12-13     | 15.76      |
| 2013-12-13     | 15.74      |
| 2013-12-13     | 15.75      |
| 2013-12-13     | 15.74      |
| 2013-12-13     | 15.71      |
| 2013-12-13     | 15.71      |
| 2013-12-13     | 15.69      |
| 2013-12-13     | 15.68      |
| 2013-12-13     | 15.66      |
| 2013-12-13     | 15.67      |
| 2013-12-13     | 15.65      |
| 2013-12-13     | 15.62      |
| 2013-12-13     | 15.62      |
| 2013-12-13     | 15.60      |
| 2013-12-13     | 15.59      |
| 2013-12-13     | 15.57      |
| 2013-12-13     | 15.57      |
| 2013-12-13     | 15.57      |
| 2013-12-13     | 15.56      |
| 2013-12-13     | 15.57      |
| 2013-12-13     | 15.58      |
| 2013-12-13     | 15.62      |
| 2013-12-13     | 33.71      |
| 2013-12-13     | 32.06      |
| 2013-12-13     | 30.70      |
| 2013-12-13     | 29.52      |
| 2013-12-13     | 28.35      |
| 2013-12-13     | 27.37      |
| 2013-12-13     | 26.50      |
| 2013-12-13     | 25.79      |
| 2013-12-13     | 25.05      |
| 2013-12-13     | 24.47      |
| 2013-12-13     | 23.88      |
| 2013-12-13     | 23.43      |
| 2013-12-13     | 22.96      |
| 2013-12-13     | 22.64      |
| 2013-12-13     | 22.46      |
| 2013-12-13     | 22.11      |
| 2013-12-13     | 21.88      |
| 2013-12-13     | 21.68      |
| 2013-12-13     | 21.46      |
| 2013-12-13     | 21.22      |
| 2013-12-13     | 21.11      |
| 2013-12-13     | 20.98      |
| 2013-12-13     | 20.72      |
| 2013-12-13     | 20.57      |
| 2013-12-13     | 20.34      |
| 2013-12-13     | 20.17      |
| 2013-12-13     | 20.02      |
| 2013-12-13     | 19.86      |
| 2013-12-13     | 19.72      |
| 2013-12-13     | 19.54      |
| 2013-12-13     | 19.39      |
| 2013-12-13     | 19.23      |
| 2013-12-13     | 19.06      |
| 2013-12-13     | 18.90      |
| 2013-12-13     | 18.76      |
| 2013-12-13     | 18.61      |
| 2013-12-13     | 18.49      |
| 2013-12-13     | 18.38      |
| 2013-12-13     | 18.26      |
| 2013-12-13     | 18.14      |
| 2013-12-13     | 18.03      |
| 2013-12-13     | 17.94      |
| 2013-12-13     | 17.85      |
| 2013-12-13     | 17.77      |
| 2013-12-13     | 17.66      |
| 2013-12-13     | 17.56      |
| 2013-12-13     | 17.51      |
| 2013-12-13     | 17.39      |
